rank,feature,importance
1,token_precision,0.314905
2,token_recall,0.135115
3,missing_entity_count,0.093359
4,entity_overlap_ratio,0.092345
5,lexical_jaccard_similarity,0.075039
6,nli_prob_entailment,0.057245
7,token_f1,0.053963
8,nli_entailment_ratio,0.044472
9,semantic_dot_product,0.029677
10,semantic_cosine_sim,0.027897
11,nli_prob_neutral,0.024012
12,semantic_euclidean_dist,0.020265
13,nli_prob_contradiction,0.018835
14,semantic_embedding_magnitude_ratio,0.006421
15,missing_number_count,0.003348
16,number_match_ratio,0.003070
17,hedge_word_count,0.000032
18,retrieval_score,0.000000
