feature,importance
token_precision,0.249932
claim_word_count,0.214942
length_ratio,0.133357
lexical_jaccard_similarity,0.063251
token_recall,0.062039
token_f1,0.055922
missing_entity_count,0.052012
entity_overlap_ratio,0.044895
semantic_euclidean_dist,0.021008
nli_prob_contradiction,0.018551
semantic_cosine_sim,0.018545
nli_prob_neutral,0.018426
semantic_dot_product,0.014901
nli_prob_entailment,0.012238
nli_entailment_ratio,0.011728
semantic_embedding_magnitude_ratio,0.004818
missing_number_count,0.002650
number_match_ratio,0.000786
hedge_word_count,0.000000
retrieval_score,0.000000
