feature,importance
token_precision,0.317703
token_recall,0.150213
lexical_jaccard_similarity,0.093345
missing_entity_count,0.088634
token_f1,0.075492
entity_overlap_ratio,0.062871
semantic_dot_product,0.040648
nli_prob_neutral,0.037597
semantic_cosine_sim,0.030810
semantic_euclidean_dist,0.024527
nli_entailment_ratio,0.023122
nli_prob_contradiction,0.021239
nli_prob_entailment,0.020897
semantic_embedding_magnitude_ratio,0.008469
missing_number_count,0.004056
number_match_ratio,0.000379
hedge_word_count,0.000000
retrieval_score,0.000000
